match_id,patch,placement,level,last_round,gold_left,time_eliminated,traits,trait_tiers,augments,units
NA1_5569154839,Version.10,3,9,38,1,2139.857666015625,"TFT17_AssassinTrait,TFT17_DarkStar,TFT17_FlexTrait,TFT17_HPTank,TFT17_JhinUniqueTrait,TFT17_RangedTrait,TFT17_RhaastUniqueTrait,TFT17_TahmKenchUniqueTrait","TFT17_AssassinTrait:1,TFT17_DarkStar:3,TFT17_FlexTrait:1,TFT17_HPTank:1,TFT17_JhinUniqueTrait:1,TFT17_RangedTrait:1,TFT17_RhaastUniqueTrait:1,TFT17_TahmKenchUniqueTrait:1",,"TFT17_Chogath,TFT17_Mordekaiser,TFT17_Kaisa,TFT17_Rhaast,TFT17_Karma,TFT17_Galio,TFT17_Riven,TFT17_TahmKench,TFT17_Jhin"
NA1_5569154839,Version.10,2,8,38,50,2150.1298828125,"TFT17_ADMIN,TFT17_ASTrait,TFT17_AnimaSquad,TFT17_FlexTrait,TFT17_RhaastUniqueTrait,TFT17_ShieldTank,TFT17_SummonTrait","TFT17_ADMIN:1,TFT17_ASTrait:1,TFT17_AnimaSquad:1,TFT17_FlexTrait:1,TFT17_RhaastUniqueTrait:1,TFT17_ShieldTank:1,TFT17_SummonTrait:1",,"TFT17_Jinx,TFT17_IvernMinion,TFT17_Illaoi,TFT17_Aurora,TFT17_Diana,TFT17_Rhaast,TFT17_Nunu,TFT17_Leblanc,TFT17_Summon"
NA1_5569154839,Version.10,1,9,38,57,2151.732177734375,"TFT17_BlitzcrankUniqueTrait,TFT17_DRX,TFT17_HPTank,TFT17_RangedTrait,TFT17_ResistTank,TFT17_RhaastUniqueTrait,TFT17_ShieldTank,TFT17_SpaceGroove,TFT17_Stargazer_Serpent,TFT17_TahmKenchUniqueTrait","TFT17_BlitzcrankUniqueTrait:1,TFT17_DRX:1,TFT17_HPTank:1,TFT17_RangedTrait:1,TFT17_ResistTank:1,TFT17_RhaastUniqueTrait:1,TFT17_ShieldTank:1,TFT17_SpaceGroove:1,TFT17_Stargazer_Serpent:1,TFT17_TahmKenchUniqueTrait:1",,"TFT17_Aatrox,TFT17_Jax,TFT17_Maokai,TFT17_Samira,TFT17_Rhaast,TFT17_Nunu,TFT17_Xayah,TFT17_TahmKench,TFT17_Blitzcrank"
NA1_5569154839,Version.10,5,10,33,1,1863.3441162109375,"TFT17_ASTrait,TFT17_AnimaSquad,TFT17_AssassinTrait,TFT17_BlitzcrankUniqueTrait,TFT17_FioraUniqueTrait,TFT17_FlexTrait,TFT17_MeleeTrait,TFT17_Primordian,TFT17_RhaastUniqueTrait,TFT17_ShieldTank,TFT17_SpaceGroove,TFT17_SummonTrait","TFT17_ASTrait:1,TFT17_AnimaSquad:2,TFT17_AssassinTrait:1,TFT17_BlitzcrankUniqueTrait:1,TFT17_FioraUniqueTrait:1,TFT17_FlexTrait:3,TFT17_MeleeTrait:1,TFT17_Primordian:1,TFT17_RhaastUniqueTrait:1,TFT17_ShieldTank:1,TFT17_SpaceGroove:1,TFT17_SummonTrait:1",,"TFT17_Briar,TFT17_Belveth,TFT17_Jinx,TFT17_IvernMinion,TFT17_Illaoi,TFT17_Aurora,TFT17_Rhaast,TFT17_Riven,TFT17_Fiora,TFT17_Blitzcrank,TFT17_Summon"
NA1_5569154839,Version.10,8,9,28,1,1626.35107421875,"TFT17_BlitzcrankUniqueTrait,TFT17_DRX,TFT17_FioraUniqueTrait,TFT17_GravesTrait,TFT17_MeleeTrait,TFT17_ResistTank,TFT17_RhaastUniqueTrait,TFT17_ShenUniqueTrait,TFT17_ShieldTank,TFT17_SpaceGroove,TFT17_VexUniqueTrait","TFT17_BlitzcrankUniqueTrait:1,TFT17_DRX:1,TFT17_FioraUniqueTrait:1,TFT17_GravesTrait:1,TFT17_MeleeTrait:1,TFT17_ResistTank:1,TFT17_RhaastUniqueTrait:1,TFT17_ShenUniqueTrait:1,TFT17_ShieldTank:1,TFT17_SpaceGroove:1,TFT17_VexUniqueTrait:1",,"TFT17_Aatrox,TFT17_Akali,TFT17_Rhaast,TFT17_Nunu,TFT17_Fiora,TFT17_Blitzcrank,TFT17_Vex,TFT17_Shen,TFT17_Graves"
NA1_5569154839,Version.10,7,8,28,0,1616.650390625,"TFT17_ADMIN,TFT17_DarkStar,TFT17_FlexTrait,TFT17_ManaTrait,TFT17_ShieldTank,TFT17_SummonTrait","TFT17_ADMIN:1,TFT17_DarkStar:1,TFT17_FlexTrait:3,TFT17_ManaTrait:1,TFT17_ShieldTank:1,TFT17_SummonTrait:1",,"TFT17_Pyke,TFT17_Zoe,TFT17_IvernMinion,TFT17_Mordekaiser,TFT17_Illaoi,TFT17_Karma,TFT17_Galio,TFT17_Leblanc,TFT17_Summon"
NA1_5569154839,Version.10,4,8,34,1,1929.8414306640625,"TFT17_APTrait,TFT17_DRX,TFT17_Fateweaver,TFT17_HPTank,TFT17_ResistTank,TFT17_RhaastUniqueTrait,TFT17_Stargazer_Serpent,TFT17_Timebreaker","TFT17_APTrait:1,TFT17_DRX:1,TFT17_Fateweaver:1,TFT17_HPTank:1,TFT17_ResistTank:1,TFT17_RhaastUniqueTrait:1,TFT17_Stargazer_Serpent:1,TFT17_Timebreaker:1",,"TFT17_Aatrox,TFT17_TwistedFate,TFT17_Jax,TFT17_Milio,TFT17_Pantheon,TFT17_Maokai,TFT17_Lulu,TFT17_Rhaast"
NA1_5569154839,Version.10,6,9,28,2,1615.6990966796875,"TFT17_BlitzcrankUniqueTrait,TFT17_DarkStar,TFT17_FlexTrait,TFT17_ManaTrait,TFT17_RhaastUniqueTrait,TFT17_ShieldTank,TFT17_SonaUniqueTrait,TFT17_SpaceGroove,TFT17_SummonTrait","TFT17_BlitzcrankUniqueTrait:1,TFT17_DarkStar:1,TFT17_FlexTrait:1,TFT17_ManaTrait:1,TFT17_RhaastUniqueTrait:1,TFT17_ShieldTank:2,TFT17_SonaUniqueTrait:1,TFT17_SpaceGroove:1,TFT17_SummonTrait:1",,"TFT17_Leona,TFT17_IvernMinion,TFT17_Mordekaiser,TFT17_Illaoi,TFT17_Rhaast,TFT17_Karma,TFT17_Bard,TFT17_Blitzcrank,TFT17_Sona,TFT17_Summon"
NA1_5564643979,Version.10,5,9,31,0,1726.4307861328125,"TFT17_AssassinTrait,TFT17_Astronaut,TFT17_Fateweaver,TFT17_FlexTrait,TFT17_ResistTank,TFT17_ShenUniqueTrait,TFT17_Timebreaker","TFT17_AssassinTrait:1,TFT17_Astronaut:2,TFT17_Fateweaver:1,TFT17_FlexTrait:1,TFT17_ResistTank:1,TFT17_ShenUniqueTrait:1,TFT17_Timebreaker:1",,"TFT17_Milio,TFT17_IvernMinion,TFT17_Fizz,TFT17_Rammus,TFT17_Corki,TFT17_Galio,TFT17_Riven,TFT17_Bard,TFT17_Shen"
NA1_5564643979,Version.10,6,9,30,2,1663.6175537109375,"TFT17_BlitzcrankUniqueTrait,TFT17_DarkStar,TFT17_FlexTrait,TFT17_ManaTrait,TFT17_PsyOps,TFT17_ShieldTank,TFT17_SonaUniqueTrait,TFT17_SpaceGroove,TFT17_SummonTrait","TFT17_BlitzcrankUniqueTrait:1,TFT17_DarkStar:1,TFT17_FlexTrait:2,TFT17_ManaTrait:1,TFT17_PsyOps:1,TFT17_ShieldTank:2,TFT17_SonaUniqueTrait:1,TFT17_SpaceGroove:1,TFT17_SummonTrait:1",,"TFT17_Pyke,TFT17_IvernMinion,TFT17_Mordekaiser,TFT17_Illaoi,TFT17_Karma,TFT17_Nunu,TFT17_Bard,TFT17_Blitzcrank,TFT17_Sona,TFT17_Summon"
